,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Turnover,Turnover,Turnover,Turnover,Turnover,Turnover,Turnover,Turnover,%Deliverable,%Deliverable,%Deliverable,%Deliverable,%Deliverable,%Deliverable,%Deliverable,%Deliverable,Volatility,Volatility,Volatility,Volatility,Volatility,Volatility,Volatility,Volatility
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
TATAMOTORS,2456.0,19751541.18607492,29423144.383700326,213905.0,5764091.75,9006632.0,18231410.75,390577839.0,2456.0,457820934360749.2,624392388434267.6,6687450000000.0,219178500000000.0,294645000000000.0,444174250000000.0,9365670000000000.0,2456.0,0.38127210912052123,0.16508640793634638,0.0385,0.251025,0.4042,0.506525,0.8479,2454.0,0.026192224353840787,0.01713577372376331,0.0042967834898832435,0.01846798174707226,0.02228086911224321,0.029616615205603294,0.1838550128890395
TATASTEEL,1.0,4662509.0,,4662509.0,4662509.0,4662509.0,4662509.0,4662509.0,1.0,273002494550000.0,,273002494550000.0,273002494550000.0,273002494550000.0,273002494550000.0,273002494550000.0,1.0,0.4243,,0.4243,0.4243,0.4243,0.4243,0.4243,0.0,,,,,,,
TCS,2456.0,1915014.2056188926,1808137.0960867093,28017.0,903178.25,1394599.0,2414472.5,44033577.0,2456.0,413904807442996.75,457537177687722.7,3989510000000.0,181631500000000.0,284443500000000.0,511944000000000.0,1.27e+16,2456.0,0.5809243892508144,0.12810335072923973,0.1214,0.495575,0.58745,0.6790499999999999,0.8993,2454.0,0.016267231944509845,0.010390812422220164,0.004874382954801876,0.012172034257208534,0.014598396013877914,0.017300873761518572,0.11177007898647459
TECHM,2456.0,2106599.7019543974,2217466.5746671865,1921.0,550163.0,1568899.0,2888008.75,31171453.0,2456.0,156785764712540.72,160198353730629.53,122375000000.0,56258250000000.0,113682500000000.0,202133500000000.0,1758830000000000.0,2456.0,0.49343163680781765,0.15431564078394017,0.0753,0.387725,0.5078,0.604625,0.8995,2454.0,0.019327156061464904,0.014890399039747197,0.008040143177278004,0.014228861201527538,0.01702019183880167,0.020563884029118497,0.1652829938865844
TITAN,1.0,351152.0,,351152.0,351152.0,351152.0,351152.0,351152.0,1.0,151255000945000.0,,151255000945000.0,151255000945000.0,151255000945000.0,151255000945000.0,151255000945000.0,1.0,0.2066,,0.2066,0.2066,0.2066,0.2066,0.2066,0.0,,,,,,,
ULTRACEMCO,1.0,79530.0,,79530.0,79530.0,79530.0,79530.0,79530.0,1.0,8178147345000.0,,8178147345000.0,8178147345000.0,8178147345000.0,8178147345000.0,8178147345000.0,1.0,0.5376,,0.5376,0.5376,0.5376,0.5376,0.5376,0.0,,,,,,,
UNIPHOS,1.0,408711.0,,408711.0,408711.0,408711.0,408711.0,408711.0,1.0,6653303885000.0,,6653303885000.0,6653303885000.0,6653303885000.0,6653303885000.0,6653303885000.0,1.0,0.4874,,0.4874,0.4874,0.4874,0.4874,0.4874,0.0,,,,,,,
UPL,1.0,2030335.0,,2030335.0,2030335.0,2030335.0,2030335.0,2030335.0,1.0,31513588145000.0,,31513588145000.0,31513588145000.0,31513588145000.0,31513588145000.0,31513588145000.0,1.0,0.3596,,0.3596,0.3596,0.3596,0.3596,0.3596,0.0,,,,,,,
VEDL,1482.0,15640599.683535762,14495494.10660665,577701.0,8616406.75,12118753.0,17703272.0,270968028.0,1482.0,257117074898785.44,201632763352027.03,11152700000000.0,146867500000000.0,217595000000000.0,310877250000000.0,4374150000000000.0,1482.0,0.31298205128205125,0.11616683287615025,0.0736,0.226225,0.2918,0.382175,0.8595,1480.0,0.027452643804746966,0.011200476641219113,0.01121046307711514,0.0199134461929135,0.02403697090396901,0.03153340974729952,0.07474601829758303
WIPRO,2456.0,3734959.6665309444,6754185.316351709,25990.0,1189502.75,1865083.5,3613064.0,130367693.0,2456.0,135822113192182.4,244711040617073.6,1110000000000.0,51500000000000.0,78350000000000.0,126250000000000.0,5080000000000000.0,2456.0,0.540746783387622,0.15471819237822568,0.0836,0.44215,0.558,0.651,0.8794,2454.0,0.016441790124586714,0.011308667038142678,0.00549090989019268,0.011313504733469818,0.013982107162977597,0.01809547036896173,0.11211150406896706
ZEEL,2456.0,6325773.807003257,11459919.103080377,13848.0,1356846.5,2167289.5,5068600.0,165959680.0,2456.0,170709918851791.53,278561740404751.88,161076000000.0,43786025000000.0,79228300000000.0,175997000000000.0,4285620000000000.0,2456.0,0.48074776058631924,0.1919878041438913,0.0557,0.329975,0.5156499999999999,0.6236250000000001,0.9554,2454.0,0.023147387462261484,0.012745780534839964,0.006735475200606765,0.015832012532043395,0.01995771943867531,0.025651842453842492,0.10003119297297466
